id,target
test_id_0,60.095
test_id_1,76.059
test_id_2,58.647
test_id_3,78.707
test_id_4,59.002
test_id_5,49.373
test_id_6,69.931
test_id_7,61.666
test_id_8,76.399
test_id_9,72.943
test_id_10,72.434
test_id_11,65.202
test_id_12,87.096
test_id_13,75.03
test_id_14,78.308
test_id_15,87.481
test_id_16,55.497
test_id_17,63.619
test_id_18,54.078
test_id_19,71.394
test_id_20,70.678
test_id_21,55.946
test_id_22,65.138
test_id_23,69.791
test_id_24,57.362
test_id_25,78.797
test_id_26,79.66
test_id_27,72.407
test_id_28,80.51
test_id_29,45.642
test_id_30,61.049
test_id_31,33.716
test_id_32,47.479
test_id_33,51.214
test_id_34,44.915
test_id_35,59.396
test_id_36,44.056
test_id_37,62.048
test_id_38,94.54
test_id_39,84.869
test_id_40,100.673
test_id_41,93.389
test_id_42,90.363
test_id_43,41.593
test_id_44,62.276
test_id_45,49.533
test_id_46,56.258
test_id_47,73.308
test_id_48,74.471
test_id_49,77.021
test_id_50,46.485
test_id_51,50.184
test_id_52,58.013
test_id_53,38.95
test_id_54,50.031
test_id_55,82.243
test_id_56,66.525
test_id_57,63.53
test_id_58,65.944
test_id_59,76.89
test_id_60,76.328
test_id_61,100.796
test_id_62,83.347
test_id_63,66.868
test_id_64,45.176
test_id_65,49.067
test_id_66,48.262
test_id_67,56.737
test_id_68,56.043
test_id_69,55.146
test_id_70,70.894
test_id_71,55.246
test_id_72,60.492
test_id_73,56.64
test_id_74,81.751
test_id_75,73.249
test_id_76,60.604
test_id_77,79.776
test_id_78,77.666
test_id_79,46.768
test_id_80,69.167
test_id_81,76.188
test_id_82,52.773
test_id_83,84.626
test_id_84,77.307
test_id_85,54.315
test_id_86,41.409
test_id_87,63.041
test_id_88,82.417
test_id_89,77.443
test_id_90,62.475
test_id_91,88.415
test_id_92,65.687
test_id_93,67.817
test_id_94,57.881
test_id_95,54.898
test_id_96,62.07
test_id_97,56.966
test_id_98,61.922
test_id_99,46.707
test_id_100,58.395
test_id_101,54.142
test_id_102,55.683
test_id_103,51.386
test_id_104,69.408
test_id_105,57.798
test_id_106,56.216
test_id_107,51.335
test_id_108,53.773
test_id_109,72.209
test_id_110,69.046
test_id_111,73.004
test_id_112,82.482
test_id_113,64.397
test_id_114,80.723
test_id_115,76.181
test_id_116,61.574
test_id_117,71.931
test_id_118,80.831
test_id_119,78.38
test_id_120,87.008
test_id_121,93.114
test_id_122,81.884
test_id_123,89.833
test_id_124,85.358
test_id_125,45.717
test_id_126,59.757
test_id_127,60.476
test_id_128,69.015
test_id_129,69.035
test_id_130,68.419
test_id_131,50.936
test_id_132,77.006
test_id_133,61.87
test_id_134,67.487
test_id_135,51.221
test_id_136,63.147
test_id_137,66.928
test_id_138,70.908
test_id_139,60.013
test_id_140,67.581
test_id_141,70.094
test_id_142,78.29
test_id_143,53.824
test_id_144,65.319
test_id_145,72.315
test_id_146,77.405
test_id_147,63.652
test_id_148,99.205
test_id_149,65.277
test_id_150,92.381
test_id_151,83.068
test_id_152,87.225
test_id_153,83.609
test_id_154,82.058
test_id_155,51.833
test_id_156,51.545
test_id_157,59.833
test_id_158,40.893
test_id_159,46.944
test_id_160,64.055
test_id_161,60.897
test_id_162,62.261
test_id_163,71.152
test_id_164,75.719
test_id_165,59.413
test_id_166,72.452
test_id_167,79.091
test_id_168,84.034
test_id_169,85.27
test_id_170,56.151
test_id_171,58.765
test_id_172,66.52
test_id_173,61.79
test_id_174,57.431
test_id_175,91.612
test_id_176,52.219
test_id_177,49.569
test_id_178,71.589
test_id_179,78.101
test_id_180,81.913
test_id_181,91.796
test_id_182,82.323
test_id_183,84.681
test_id_184,89.95
test_id_185,58.395
test_id_186,48.443
test_id_187,41.016
test_id_188,59.479
test_id_189,34.145
test_id_190,39.15
test_id_191,56.813
test_id_192,51.374
test_id_193,60.66
test_id_194,47.444
test_id_195,43.724
test_id_196,61.962
test_id_197,66.21
test_id_198,68.419
test_id_199,71.315
test_id_200,56.209
test_id_201,48.473
test_id_202,67.559
test_id_203,68.942
test_id_204,63.851
test_id_205,70.326
test_id_206,57.172
test_id_207,65.004
test_id_208,64.189
test_id_209,62.054
test_id_210,71.543
test_id_211,52.77
test_id_212,84.176
test_id_213,64.325
test_id_214,68.687
test_id_215,71.335
test_id_216,44.485
test_id_217,49.797
test_id_218,81.131
test_id_219,76.562
test_id_220,86.885
test_id_221,63.836
test_id_222,63.712
test_id_223,78.065
test_id_224,85.298
test_id_225,88.649
test_id_226,58.422
test_id_227,93.376
test_id_228,74.257
test_id_229,52.807
test_id_230,70.863
test_id_231,64.428
test_id_232,42.023
test_id_233,49.194
test_id_234,63.879
test_id_235,63.687
test_id_236,58.138
test_id_237,51.414
test_id_238,74.779
test_id_239,81.017
test_id_240,95.226
test_id_241,80.711
test_id_242,90.433
test_id_243,62.152
test_id_244,43.259
test_id_245,74.233
test_id_246,64.99
test_id_247,67.408
test_id_248,71.204
test_id_249,46.647
test_id_250,56.929
test_id_251,65.377
test_id_252,62.904
test_id_253,79.051
test_id_254,58.724
test_id_255,79.295
test_id_256,78.482
test_id_257,61.737
test_id_258,80.795
test_id_259,78.733
test_id_260,85.072
test_id_261,89.706
test_id_262,78.475
test_id_263,79.818
test_id_264,81.312
test_id_265,53.529
test_id_266,79.667
test_id_267,78.188
test_id_268,100.616
test_id_269,101.335
test_id_270,85.421
test_id_271,54.665
test_id_272,74.295
test_id_273,65.341
test_id_274,68.103
test_id_275,60.36
test_id_276,59.372
test_id_277,71.644
test_id_278,89.075
test_id_279,58.542
test_id_280,84.087
test_id_281,68.484
test_id_282,43.561
test_id_283,43.082
test_id_284,51.702
test_id_285,64.756
test_id_286,49.036
test_id_287,49.897
test_id_288,57.602
test_id_289,71.878
test_id_290,58.321
test_id_291,59.497
test_id_292,52.692
test_id_293,62.207
test_id_294,62.275
test_id_295,60.137
test_id_296,80.658
test_id_297,63.702
test_id_298,68.037
test_id_299,65.738
test_id_300,70.056
test_id_301,78.557
test_id_302,85.543
test_id_303,87.0
test_id_304,86.387
test_id_305,82.715
test_id_306,93.962
test_id_307,86.286
test_id_308,67.594
test_id_309,88.939
test_id_310,85.058
test_id_311,60.605
test_id_312,82.112
test_id_313,74.778
test_id_314,59.414
test_id_315,63.121
test_id_316,64.012
test_id_317,55.722
test_id_318,58.444
test_id_319,58.824
test_id_320,53.367
test_id_321,56.464
test_id_322,59.118
test_id_323,62.418
test_id_324,70.979
test_id_325,68.853
test_id_326,59.295
test_id_327,74.033
test_id_328,64.279
test_id_329,65.994
test_id_330,44.999
test_id_331,79.841
test_id_332,78.085
test_id_333,58.293
test_id_334,60.769
test_id_335,45.957
test_id_336,73.312
test_id_337,56.859
test_id_338,64.512
test_id_339,55.391
test_id_340,73.873
test_id_341,71.927
test_id_342,59.156
test_id_343,50.502
test_id_344,62.066
test_id_345,70.097
test_id_346,68.328
test_id_347,63.654
test_id_348,48.401
test_id_349,69.747
test_id_350,56.401
test_id_351,62.407
test_id_352,67.803
test_id_353,58.221
test_id_354,70.292
test_id_355,74.9
test_id_356,62.166
test_id_357,77.656
test_id_358,41.104
test_id_359,70.133
test_id_360,59.438
test_id_361,77.463
test_id_362,74.416
test_id_363,92.74
test_id_364,76.884
test_id_365,62.358
test_id_366,60.405
test_id_367,68.522
test_id_368,63.695
test_id_369,75.579
test_id_370,58.371
test_id_371,67.761
test_id_372,76.764
test_id_373,71.114
test_id_374,59.596
test_id_375,82.064
test_id_376,33.369
test_id_377,53.245
test_id_378,28.526
test_id_379,49.954
test_id_380,74.486
test_id_381,65.939
test_id_382,73.991
test_id_383,72.819
test_id_384,75.451
test_id_385,84.805
test_id_386,94.649
test_id_387,63.054
test_id_388,75.305
test_id_389,78.446
test_id_390,88.284
test_id_391,84.333
test_id_392,69.992
test_id_393,75.849
test_id_394,101.184
test_id_395,92.102
test_id_396,85.971
test_id_397,84.475
test_id_398,60.547
test_id_399,59.807
test_id_400,57.499
test_id_401,76.011
test_id_402,59.545
test_id_403,42.513
test_id_404,51.042
test_id_405,57.472
test_id_406,57.173
test_id_407,60.207
test_id_408,49.925
test_id_409,64.908
test_id_410,58.36
test_id_411,68.951
